Strategy,Newborns_Added,Kappa,Lambda,Min_Degree,Avg_Degree,Clustering_Coeff,Avg_Shortest_Path,Fundamental_Circuits,Is_Planar
Random,1,4,4,4,16.356,0.3121,1.9505,,
Random,2,4,4,4,16.294,0.3096,1.9559,,
Random,3,4,4,4,16.233,0.3071,1.9604,,
Random,4,4,4,4,16.173,0.3056,1.9662,,
Random,5,4,4,4,16.114,0.3043,1.9701,,
Random,6,4,4,4,16.057,0.3009,1.9763,,
Random,7,4,4,4,16.0,0.2976,1.981,,
Random,8,4,4,4,15.944,0.2964,1.9851,,
Random,9,4,4,4,15.89,0.2941,1.991,,
Random,10,4,4,4,15.836,0.292,1.9943,,
Random,11,4,4,4,15.784,0.2909,1.998,,
Random,12,4,4,4,15.732,0.2898,2.0016,,
Random,13,4,4,4,15.681,0.2887,2.0047,,
Random,14,4,4,4,15.632,0.2875,2.0096,,
Random,15,4,4,4,15.583,0.2864,2.014,,
Random,16,4,4,4,15.534,0.2853,2.0177,,
Random,17,4,4,4,15.487,0.2825,2.0206,,
Random,18,4,4,4,15.441,0.2806,2.0249,,
Random,19,4,4,4,15.395,0.2778,2.0282,,
Random,20,4,4,4,15.35,0.2761,2.0308,,
Random,21,4,4,4,15.306,0.276,2.0346,,
Random,22,4,4,4,15.262,0.276,2.0375,,
Random,23,4,4,4,15.22,0.2742,2.0413,,
Random,24,4,4,4,15.177,0.2734,2.0439,,
Random,25,4,4,4,15.136,0.2725,2.047,822,False
Random,26,4,4,4,15.095,0.2701,2.0495,,
Random,27,4,4,4,15.055,0.2685,2.0532,,
Random,28,4,4,4,15.016,0.2685,2.0554,,
Random,29,4,4,4,14.977,0.2686,2.0586,,
Random,30,4,4,4,14.938,0.267,2.062,,
Random,31,4,4,4,14.901,0.2662,2.0652,,
Random,32,4,4,4,14.864,0.2662,2.0679,,
Random,33,4,4,4,14.827,0.2646,2.0713,,
Random,34,4,4,4,14.791,0.2639,2.0736,,
Random,35,4,4,4,14.756,0.2617,2.0755,,
Random,36,4,4,4,14.721,0.2618,2.0779,,
Random,37,4,4,4,14.686,0.2604,2.0794,,
Random,38,4,4,4,14.652,0.2583,2.0817,,
Random,39,4,4,4,14.619,0.2569,2.0838,,
Random,40,4,4,4,14.586,0.2563,2.0857,,
Random,41,4,4,4,14.553,0.2564,2.0883,,
Random,42,4,4,4,14.521,0.2558,2.0912,,
Random,43,4,4,4,14.49,0.2552,2.0935,,
Random,44,4,4,4,14.458,0.2532,2.0964,,
Random,45,4,4,4,14.428,0.2519,2.098,,
Random,46,4,4,4,14.397,0.2514,2.0992,,
Random,47,4,4,4,14.367,0.2516,2.1009,,
Random,48,4,4,4,14.338,0.2517,2.1025,,
Random,49,4,4,4,14.309,0.2511,2.1054,,
Random,50,4,4,4,14.28,0.2506,2.107,922,False
Preferential,1,4,4,4,16.337,0.2891,1.9685,,
Preferential,2,4,4,4,16.275,0.2878,1.9734,,
Preferential,3,4,4,4,16.214,0.2856,1.9777,,
Preferential,4,4,4,4,16.154,0.2854,1.9826,,
Preferential,5,4,4,4,16.095,0.2842,1.9874,,
Preferential,6,4,4,4,16.038,0.2839,1.9925,,
Preferential,7,4,4,4,15.981,0.2817,1.9968,,
Preferential,8,4,4,4,15.926,0.2797,2.0007,,
Preferential,9,4,4,4,15.872,0.2776,2.0068,,
Preferential,10,4,4,4,15.818,0.2755,2.0127,,
Preferential,11,4,4,4,15.766,0.2754,2.017,,
Preferential,12,4,4,4,15.714,0.2732,2.0225,,
Preferential,13,4,4,4,15.664,0.2712,2.027,,
Preferential,14,4,4,4,15.614,0.2702,2.0306,,
Preferential,15,4,4,4,15.565,0.2694,2.0328,,
Preferential,16,4,4,4,15.517,0.2685,2.0364,,
Preferential,17,4,4,4,15.47,0.2685,2.0402,,
Preferential,18,4,4,4,15.424,0.2676,2.043,,
Preferential,19,4,4,4,15.378,0.266,2.046,,
Preferential,20,4,4,4,15.333,0.2659,2.0504,,
Preferential,21,4,4,4,15.289,0.2658,2.0552,,
Preferential,22,4,4,4,15.246,0.2659,2.0585,,
Preferential,23,4,4,4,15.203,0.2658,2.0622,,
Preferential,24,4,4,4,15.161,0.2658,2.0656,,
Preferential,25,4,4,4,15.12,0.265,2.0681,821,False
Preferential,26,4,4,4,15.079,0.2642,2.0706,,
Preferential,27,4,4,4,15.039,0.2635,2.0726,,
Preferential,28,4,4,4,15.0,0.2626,2.0758,,
Preferential,29,4,4,4,14.961,0.2611,2.078,,
Preferential,30,4,4,4,14.923,0.2604,2.081,,
Preferential,31,4,4,4,14.885,0.2589,2.0849,,
Preferential,32,4,4,4,14.848,0.2581,2.0884,,
Preferential,33,4,4,4,14.812,0.2582,2.0918,,
Preferential,34,4,4,4,14.776,0.2568,2.0945,,
Preferential,35,4,4,4,14.741,0.2561,2.0972,,
Preferential,36,4,4,4,14.706,0.2554,2.1002,,
Preferential,37,4,4,4,14.672,0.2548,2.1036,,
Preferential,38,4,4,4,14.638,0.2549,2.1058,,
Preferential,39,4,4,4,14.604,0.2543,2.1077,,
Preferential,40,4,4,4,14.571,0.2537,2.1115,,
Preferential,41,4,4,4,14.539,0.2532,2.1144,,
Preferential,42,4,4,4,14.507,0.2525,2.1179,,
Preferential,43,4,4,4,14.476,0.2526,2.1199,,
Preferential,44,4,4,4,14.444,0.2507,2.1233,,
Preferential,45,4,4,4,14.414,0.2508,2.1252,,
Preferential,46,4,4,4,14.384,0.2503,2.1274,,
Preferential,47,4,4,4,14.354,0.2484,2.1289,,
Preferential,48,4,4,4,14.324,0.2479,2.1307,,
Preferential,49,4,4,4,14.295,0.2467,2.133,,
Preferential,50,4,4,4,14.267,0.2462,2.135,921,False
Local,1,2,2,2,16.396,0.312,1.9695,,
Local,2,2,2,2,16.275,0.3089,1.9946,,
Local,3,2,2,2,16.155,0.3059,2.0187,,
Local,4,2,2,2,16.096,0.3044,2.0232,,
Local,5,2,2,2,16.038,0.3039,2.0278,,
Local,6,2,2,2,15.981,0.3017,2.0295,,
Local,7,2,2,2,15.925,0.3004,2.0332,,
Local,8,2,2,2,15.87,0.2981,2.0346,,
Local,9,2,2,2,15.817,0.2959,2.0375,,
Local,10,2,2,2,15.764,0.2947,2.0414,,
Local,11,2,2,2,15.712,0.2944,2.0464,,
Local,12,2,2,2,15.696,0.2913,2.0473,,
Local,13,2,2,2,15.681,0.289,2.0485,,
Local,14,2,2,2,15.667,0.2885,2.0491,,
Local,15,2,2,2,15.652,0.2856,2.0502,,
Local,16,2,2,2,15.638,0.2826,2.052,,
Local,17,2,2,2,15.624,0.2818,2.0542,,
Local,18,2,2,2,15.61,0.2808,2.0561,,
Local,19,2,2,2,15.597,0.2774,2.0573,,
Local,20,2,2,2,15.583,0.2769,2.0587,,
Local,21,2,2,2,15.57,0.2723,2.0595,,
Local,22,2,2,2,15.557,0.2692,2.0618,,
Local,23,2,2,2,15.545,0.2667,2.0653,,
Local,24,2,2,2,15.532,0.2638,2.0669,,
Local,25,2,2,2,15.52,0.2612,2.0667,846,False
Local,26,2,2,2,15.508,0.2577,2.0668,,
Local,27,2,2,2,15.496,0.2544,2.0677,,
Local,28,2,2,2,15.484,0.2525,2.0707,,
Local,29,2,2,2,15.473,0.2523,2.0715,,
Local,30,2,2,2,15.462,0.25,2.0714,,
Local,31,2,2,2,15.45,0.2471,2.0712,,
Local,32,2,2,2,15.439,0.2449,2.0752,,
Local,33,2,2,2,15.429,0.2435,2.0772,,
Local,34,2,2,2,15.418,0.2419,2.0807,,
Local,35,2,2,2,15.407,0.2391,2.0792,,
Local,36,2,2,2,15.397,0.2374,2.081,,
Local,37,2,2,2,15.387,0.236,2.0816,,
Local,38,2,2,2,15.377,0.2341,2.0824,,
Local,39,2,2,2,15.367,0.2342,2.0827,,
Local,40,2,2,2,15.357,0.2338,2.0838,,
Local,41,2,2,2,15.348,0.2316,2.0854,,
Local,42,2,2,2,15.338,0.2301,2.0861,,
Local,43,2,2,2,15.329,0.2297,2.0867,,
Local,44,2,2,2,15.319,0.2279,2.0878,,
Local,45,2,2,2,15.31,0.226,2.0885,,
Local,46,2,2,2,15.301,0.2262,2.092,,
Local,47,2,2,2,15.293,0.2261,2.0928,,
Local,48,2,2,2,15.284,0.2251,2.0946,,
Local,49,2,2,2,15.275,0.2247,2.0952,,
Local,50,2,2,2,15.267,0.2235,2.0949,996,False
